steps,rollout,stage,mean_return,mean_episode_length,policy_loss,value_loss,entropy,grad_norm
302080,295,1,42.7069,5191.0,-0.0,0.288489,0.992059,0.012531
303104,296,1,42.7069,5191.0,-0.0,0.25238,0.990485,0.028192
304128,297,1,42.7069,5191.0,0.0,0.210327,0.991221,0.02201
305152,298,1,42.7069,5191.0,0.0,0.19098,0.991273,0.035565
306176,299,1,42.7069,5191.0,0.0,0.2161,0.989923,0.027497
307200,300,1,42.7069,5191.0,0.0,0.225626,0.990281,0.036262
308224,301,1,42.7355,5209.4,-0.0,0.21031,0.990446,0.017275
309248,302,1,42.7355,5209.4,-0.0,0.198809,0.990441,0.038381
310272,303,1,42.7355,5209.4,0.0,0.214678,0.991052,0.015393
311296,304,1,42.7355,5209.4,0.0,0.257919,0.990467,0.019613
312320,305,1,42.7355,5209.4,-0.0,0.345781,0.990294,0.046598
313344,306,1,42.7336,5211.5,-0.0,0.184875,0.99109,0.061184
314368,307,1,42.7336,5211.5,0.0,0.21887,0.99018,0.011344
315392,308,1,42.7336,5211.5,-0.0,0.202918,0.990369,0.016345
316416,309,1,42.7336,5211.5,0.0,0.27938,0.990578,0.043748
317440,310,1,42.7336,5211.5,0.0,0.225898,0.990668,0.034652
318464,311,1,42.7336,5211.5,-0.0,0.231732,0.990088,0.023413
319488,312,1,42.7656,5221.6,0.0,0.298949,0.990489,0.069136
320512,313,1,42.7656,5221.6,0.0,0.227346,0.990862,0.032018
321536,314,1,42.7656,5221.6,-0.0,0.209279,0.990067,0.028411
322560,315,1,42.7656,5221.6,0.0,0.271005,0.990818,0.014967
323584,316,1,42.7656,5221.6,-0.0,0.145225,0.990292,0.097954
324608,317,1,42.7469,5229.1,-0.0,0.235523,0.990777,0.02419
325632,318,1,42.7469,5229.1,-0.0,0.242411,0.990542,0.030442
326656,319,1,42.7469,5229.1,0.0,0.265692,0.991436,0.041798
327680,320,1,42.7469,5229.1,-0.0,0.37347,0.990996,0.095945
328704,321,1,42.7469,5229.1,-0.0,0.194947,0.990286,0.031681
329728,322,1,42.7539,5221.3,0.0,0.29559,0.990708,0.097634
330752,323,1,42.7539,5221.3,0.0,0.238635,0.990599,0.057356
331776,324,1,42.7539,5221.3,-0.0,0.22309,0.990586,0.027542
