steps,rollout,mean_return,mean_accuracy,mean_episode_length,policy_loss,value_loss,entropy,grad_norm
14016,219,11.0,0.5238,10000.0,-0.0,0.519807,1.098612,1.671491
14080,220,11.0,0.5238,10000.0,-0.0,0.000972,1.098612,0.069308
14144,221,11.0,0.5238,10000.0,0.0,0.000981,1.098612,0.068649
14208,222,11.0,0.5238,10000.0,0.0,0.00117,1.098612,0.074664
14272,223,11.0,0.5238,10000.0,0.0,0.000675,1.098612,0.047586
14336,224,11.0,0.5238,10000.0,0.0,0.379091,1.098612,1.219084
14400,225,11.0,0.5238,10000.0,0.0,0.000624,1.098612,0.049552
14464,226,11.0,0.5238,10000.0,0.0,0.001901,1.098612,0.096044
14528,227,11.0,0.5238,10000.0,-0.0,0.00209,1.098612,0.097
14592,228,11.0,0.5238,10000.0,0.0,0.000816,1.098612,0.041578
14656,229,11.0,0.5238,10000.0,-0.0,0.262153,1.098612,0.745239
14720,230,11.0,0.5238,10000.0,-0.0,0.001309,1.098612,0.077864
14784,231,11.0,0.5238,10000.0,-0.0,0.002851,1.098612,0.122805
14848,232,11.0,0.5238,10000.0,-0.0,0.002963,1.098612,0.117736
14912,233,11.0,0.5238,10000.0,-0.0,0.001366,1.098612,0.075268
14976,234,11.0,0.5238,10000.0,0.0,0.001755,1.098612,0.092653
15040,235,11.0,0.5238,10000.0,-0.0,0.001483,1.098612,0.08396
15104,236,11.0,0.5238,10000.0,0.0,0.002851,1.098612,0.12367
15168,237,11.0,0.5238,10000.0,0.0,0.001244,1.098612,0.079378
15232,238,11.0,0.5238,10000.0,0.0,0.383147,1.098612,1.196081
15296,239,11.0,0.5238,10000.0,-0.0,0.00177,1.098612,0.097627
15360,240,11.0,0.5238,10000.0,-0.0,0.00187,1.098612,0.098964
15424,241,11.0,0.5238,10000.0,-0.0,0.002587,1.098612,0.124723
15488,242,11.0,0.5238,10000.0,0.0,0.000912,1.098612,0.040726
15552,243,11.0,0.5238,10000.0,0.0,0.001287,1.098612,0.059941
15616,244,11.0,0.5238,10000.0,-0.0,0.004545,1.098612,0.146158
15680,245,11.0,0.5238,10000.0,-0.0,0.000756,1.098612,0.055448
15744,246,11.0,0.5238,10000.0,-0.0,0.002158,1.098612,0.105848
15808,247,11.0,0.5238,10000.0,-0.0,0.002485,1.098612,0.113859
15872,248,11.0,0.5238,10000.0,0.0,0.393527,1.098612,1.34361
15936,249,11.0,0.5238,10000.0,-0.0,0.001398,1.098612,0.077417
16000,250,11.0,0.5238,10000.0,-0.0,0.000799,1.098612,0.054124
16064,251,11.0,0.5238,10000.0,0.0,0.002831,1.098612,0.106071
16128,252,11.0,0.5238,10000.0,-0.0,0.0003,1.098612,0.033159
16192,253,11.0,0.5238,10000.0,0.0,0.000761,1.098612,0.029144
16256,254,11.0,0.5238,10000.0,0.0,0.002467,1.098612,0.050403
16320,255,11.0,0.5238,10000.0,0.0,0.001673,1.098612,0.094552
16384,256,11.0,0.5238,10000.0,-0.0,0.001796,1.098612,0.056842
16448,257,11.0,0.5238,10000.0,-0.0,0.00027,1.098612,0.027117
16512,258,11.0,0.5238,10000.0,0.0,0.000973,1.098612,0.059161
16576,259,11.0,0.5238,10000.0,0.0,0.005532,1.098612,0.144433
16640,260,11.0,0.5238,10000.0,-0.0,0.000203,1.098612,0.02104
16704,261,11.0,0.5238,10000.0,0.0,0.359517,1.098612,1.091377
16768,262,11.0,0.5238,10000.0,-0.0,0.001405,1.098612,0.088828
16832,263,11.0,0.5238,10000.0,0.0,0.000289,1.098612,0.037365
16896,264,11.0,0.5238,10000.0,0.0,0.000169,1.098612,0.022955
16960,265,11.0,0.5238,10000.0,-0.0,0.000208,1.098612,0.017358
17024,266,11.0,0.5238,10000.0,-0.0,0.00038,1.098612,0.013719
17088,267,11.0,0.5238,10000.0,0.0,0.220255,1.098612,0.652915
17152,268,11.0,0.5238,10000.0,0.0,0.000627,1.098612,0.054444
17216,269,11.0,0.5238,10000.0,-0.0,0.520862,1.098612,1.679664
17280,270,11.0,0.5238,10000.0,-0.0,0.001018,1.098612,0.06893
17344,271,11.0,0.5238,10000.0,-0.0,0.001562,1.098612,0.079292
17408,272,11.0,0.5238,10000.0,-0.0,0.002379,1.098612,0.093908
17472,273,11.0,0.5238,10000.0,-0.0,0.003825,1.098612,0.130927
17536,274,11.0,0.5238,10000.0,-0.0,0.001368,1.098612,0.081674
