steps,rollout,mean_return,mean_episode_length,policy_loss,value_loss,entropy,sr_loss,grad_norm
81920,320,25.36,550.0,-0.001322,0.248613,1.098502,0.045931,0.063987
82176,321,25.4,550.0,0.021855,0.30071,1.098512,0.045013,0.983342
82432,322,25.4,550.0,0.006232,0.234726,1.098539,0.04601,0.26867
82688,323,25.36,550.0,0.017061,0.508114,1.098546,0.045204,0.754159
82944,324,25.36,550.0,0.024384,0.437444,1.098568,0.04704,1.119899
83200,325,25.4,550.0,0.013194,0.4761,1.098564,0.046105,0.576168
83456,326,25.4,550.0,0.013201,0.327678,1.098564,0.045903,0.574627
83712,327,25.47,550.0,0.012212,0.376765,1.098571,0.047733,0.564469
83968,328,25.47,550.0,0.019952,0.306167,1.098557,0.046315,0.947446
84224,329,25.5,550.0,0.013746,0.505532,1.098545,0.046484,0.638935
84480,330,25.5,550.0,0.000745,0.306367,1.098539,0.046952,0.033464
84736,331,25.52,550.0,-0.021994,0.375572,1.098527,0.047622,1.128654
84992,332,25.52,550.0,-0.013938,0.243887,1.098523,0.04713,0.697081
85248,333,25.52,550.0,-0.026416,0.41285,1.098495,0.044124,1.267897
85504,334,25.48,550.0,0.010609,0.305675,1.098489,0.046938,0.506551
85760,335,25.48,550.0,0.006908,0.17047,1.098465,0.047363,0.355144
86016,336,25.53,550.0,-0.022996,0.556024,1.098431,0.047366,1.210087
86272,337,25.53,550.0,-0.000592,0.280425,1.098416,0.047598,0.045466
86528,338,25.51,550.0,-0.00991,0.286151,1.098392,0.047515,0.535179
86784,339,25.51,550.0,0.004664,0.245807,1.098408,0.04855,0.248827
87040,340,25.57,550.0,0.001522,0.390523,1.098364,0.046411,0.060774
87296,341,25.57,550.0,0.01127,0.336392,1.09836,0.046209,0.544936
87552,342,25.59,550.0,-0.018019,0.481199,1.09838,0.047577,0.95145
87808,343,25.59,550.0,0.02453,0.309159,1.098387,0.04764,1.267333
88064,344,25.63,550.0,-0.020749,0.32286,1.098386,0.048062,1.056363
88320,345,25.63,550.0,0.034681,0.412903,1.098393,0.047296,1.804914
88576,346,25.7,550.0,-0.03819,0.700397,1.098388,0.046802,1.996405
88832,347,25.7,550.0,0.02037,0.315053,1.098417,0.048479,1.065803
89088,348,25.7,550.0,-0.010264,0.229721,1.098425,0.049574,0.521057
89344,349,25.75,550.0,-0.019692,0.480772,1.098416,0.047764,1.035029
89600,350,25.75,550.0,0.008251,0.235853,1.098457,0.048961,0.431506
89856,351,25.76,550.0,-0.006699,0.404649,1.098448,0.04796,0.372254
90112,352,25.76,550.0,-0.00621,0.337085,1.098472,0.048225,0.301177
90368,353,25.7,550.0,-0.004961,0.447649,1.098456,0.045745,0.269101
